---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|                                                                                                                                                                   ListStacks                                                                                                                                                                    |
+----------------------------------+---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------+----------------------------------------------------------------------------------------------------------+
|           creationTime           |                                                                                              stackId                                                                                              |                                                stackName                                                 |
|  2024-05-17T10:09:33.048000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-fundraising-page-type-service-pr-1964/8e8667d0-1435-11ef-8d03-0a7420ca1f7b                                                                |  of-fundraising-page-type-service-pr-1964                                                                |
|  2024-05-17T10:09:32.795000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-image-service-pr-1964/8e5f7ee0-1435-11ef-8608-0a9c5d90226f                                                                                |  of-image-service-pr-1964                                                                                |
|  2024-05-17T10:09:32.755000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-restriction-service-pr-1964/8e545b50-1435-11ef-9ff1-0ab9eb13e08b                                                                          |  of-restriction-service-pr-1964                                                                          |
|  2024-05-17T10:09:32.556000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-brand-service-pr-1964/8e369a20-1435-11ef-b866-0ad431b65edb                                                                                |  of-brand-service-pr-1964                                                                                |
|  2024-05-17T10:04:55.473000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-common-pr-1964/e9068bf0-1434-11ef-88db-06bd045250ef                                                                                       |  of-common-pr-1964                                                                                       |
|  2024-05-16T13:26:41.395000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/ofr-fws-application-pr-1963/ee3b2160-1387-11ef-b1c4-0285b66f702f                                                                             |  ofr-fws-application-pr-1963                                                                             |
|  2024-05-16T13:06:55.225000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-application-pr-1963/2b44c500-1385-11ef-84f0-02a60bc34a53                                                                                  |  of-application-pr-1963                                                                                  |
|  2024-05-16T13:05:29.941000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-admin-pr-1963/f87f5540-1384-11ef-8eef-06855810cc55                                                                                        |  of-admin-pr-1963                                                                                        |
|  2024-05-16T13:04:13.252000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-admin2-pr-1963/cac7fe90-1384-11ef-84b2-02500c9cef2f                                                                                       |  of-admin2-pr-1963                                                                                       |
|  2024-05-16T13:00:31.544000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-api-pr-1963/46986ce0-1384-11ef-8b84-0a688938ed31                                                                                          |  of-api-pr-1963                                                                                          |
|  2024-05-16T12:56:45.491000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-fundraising-page-type-service-pr-1963/bfe7fcb0-1383-11ef-a836-0277ecb138bd                                                                |  of-fundraising-page-type-service-pr-1963                                                                |
|  2024-05-16T12:56:45.455000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-image-service-pr-1963/bfe1bb20-1383-11ef-8b84-0a688938ed31                                                                                |  of-image-service-pr-1963                                                                                |
|  2024-05-16T12:56:45.435000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-brand-service-pr-1963/bfdfbf50-1383-11ef-a32a-0a2614a1b111                                                                                |  of-brand-service-pr-1963                                                                                |
|  2024-05-16T12:56:45.385000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-restriction-service-pr-1963/bfd58620-1383-11ef-b54e-0a9c5d90226f                                                                          |  of-restriction-service-pr-1963                                                                          |
|  2024-05-16T12:52:17.900000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-common-pr-1963/2064b890-1383-11ef-b997-062e5c9532bb                                                                                       |  of-common-pr-1963                                                                                       |
|  2024-05-15T08:00:33.542000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-admin2-integration/34967c10-1291-11ef-b74d-0a5c02294107                                                                                   |  of-admin2-integration                                                                                   |
|  2024-05-14T15:30:21.395000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-application-pr-1960/e028f8e0-1206-11ef-8bfd-0a8e7b612cab                                                                                  |  of-application-pr-1960                                                                                  |
|  2024-05-14T15:28:51.696000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-admin-pr-1960/aaba1400-1206-11ef-95a4-02499872cb5f                                                                                        |  of-admin-pr-1960                                                                                        |
|  2024-05-14T15:27:44.150000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-admin2-pr-1960/827145e0-1206-11ef-8716-0a481bb15e29                                                                                       |  of-admin2-pr-1960                                                                                       |
|  2024-05-14T15:24:04.692000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-api-pr-1960/ff966ec0-1205-11ef-a7fc-0a86acbe6c3d                                                                                          |  of-api-pr-1960                                                                                          |
|  2024-05-14T15:20:19.472000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-image-service-pr-1960/7962a8a0-1205-11ef-89de-06e83c31eca9                                                                                |  of-image-service-pr-1960                                                                                |
|  2024-05-14T15:20:19.435000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-fundraising-page-type-service-pr-1960/79620c60-1205-11ef-a836-0277ecb138bd                                                                |  of-fundraising-page-type-service-pr-1960                                                                |
|  2024-05-14T15:20:19.364000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-brand-service-pr-1960/79564c90-1205-11ef-a32a-0a2614a1b111                                                                                |  of-brand-service-pr-1960                                                                                |
|  2024-05-14T15:20:19.309000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-restriction-service-pr-1960/794f47b0-1205-11ef-880e-06f0fa617029                                                                          |  of-restriction-service-pr-1960                                                                          |
|  2024-05-14T15:15:57.661000+00:00|  arn:aws:cloudformation:eu-west-2:651948078005:stack/of-common-pr-1960/dd5689e0-1204-11ef-95e6-06bd045250ef                                                                                       |  of-common-pr-1960                                                                                       |
